Statistic,Per 90,Percentile
Goals,0.69,88
Assists,0.42,99
Non-Penalty Goals,0.58,88
Penalty Kicks Made,0.11,79
Penalty Kicks Attempted,0.11,73
Yellow Cards,0.05,80
Red Cards,0,57
,,
xG,0.63,92
npxG,0.55,90
xA,0.23,94
npxG+xA,0.78,94
Goals,0.69,88
Shots Total,4.03,96
Shots on target,1.48,90
Shots on target %,36.60%,27
Goals/Shot,0.14,47
Goals/Shot on target,0.39,62
Average Shot Distance,17,9
Shots from free kicks,0.37,96
Penalty Kicks Made,0.11,79
Penalty Kicks Attempted,0.11,73
,,
xG,0.63,92
npxG,0.55,90
npxG/Sh,0.14,46
Goals - xG,+0.05,65
Non-Penalty Goals - npxG,+0.03,58
Passes Completed,19.55,71
Passes Attempted,28.07,73
Pass Completion %,69.70%,31
Total Passing Distance,365.09,82
Progressive Passing Distance,112.22,93
,,
Passes Completed (Short),9.2,45
Passes Attempted (Short),11.7,43
Pass Completion % (Short),78.60%,48
,,
Passes Completed (Medium),6.85,78
Passes Attempted (Medium),9.33,81
Pass Completion % (Medium),73.40%,47
,,
Passes Completed (Long),2.9,93
Passes Attempted (Long),5.09,92
Pass Completion % (Long),57.00%,28
Assists,0.42,99
xA,0.23,94
Key Passes,1.45,86
Passes into Final Third,2.77,96
Passes into Penalty Area,1.24,87
Crosses into Penalty Area,0.18,80
Progressive Passes,3.64,94
Passes Attempted,28.07,73
,,
Live-ball passes,26.7,74
Dead-ball passes,1.37,47
Passes from Free Kicks,0.34,92
Through Balls,0.34,97
Passes Under Pressure,7.25,64
Switches,1.53,94
Crosses,1.08,79
Corner Kicks,0,33
,,
Inswinging Corner Kicks,0,42
Outswinging Corner Kicks,0,43
Straight Corner Kicks,0,46
,,
Ground passes,15.39,59
Low Passes,6.38,84
High Passes,6.3,88
,,
Passes Attempted (Left),3.53,57
Passes Attempted (Right),20.42,79
Passes Attempted (Head),1.69,73
Throw-Ins taken,0.21,77
Passes Attempted (Other),0.32,22
,,
Passes Completed,19.55,71
Passes Offside,0.21,15
Passes Out of Bounds,0.42,46
Passes Intercepted,1.13,15
Passes Blocked,1.29,31
Shot-Creating Actions,3.4,89
,,
SCA (PassLive),2.08,81
SCA (PassDead),0.05,86
SCA (Drib),0.53,95
SCA (Sh),0.29,80
SCA (Fld),0.37,86
SCA (Def),0.08,71
,,
Goal-Creating Actions,0.71,95
,,
GCA (PassLive),0.45,94
GCA (PassDead),0.03,92
GCA (Drib),0.16,95
GCA (Sh),0,18
GCA (Fld),0.08,75
GCA (Def),0,38
Tackles,0.53,32
Tackles Won,0.34,31
Tackles (Def 3rd),0.08,26
Tackles (Mid 3rd),0.37,62
Tackles (Att 3rd),0.08,12
,,
Dribblers Tackled,0.13,49
Dribbles Contested,0.53,27
% of dribblers tackled,25.00%,63
Dribbled Past,0.4,74
,,
Pressures,11.31,22
Successful Pressures,2.77,15
Successful Pressure %,24.50%,32
Pressures (Def 3rd),0.61,18
Pressures (Mid 3rd),5.38,33
Pressures (Att 3rd),5.32,22
,,
Blocks,0.84,61
Shots Blocked,0.37,99
Shots Saved,0.03,96
Passes Blocked,0.47,33
,,
Interceptions,0.42,68
Tkl+Int,0.95,46
Clearances,1.13,88
Errors,0,57
Touches,41.38,76
Touches (Def Pen),1.42,90
Touches (Def 3rd),4.03,82
Touches (Mid 3rd),21.32,84
Touches (Att 3rd),18.98,63
Touches (Att Pen),5.01,43
Touches (Live-Ball),39.85,75
,,
Dribbles Completed,1.32,70
Dribbles Attempted,2.24,65
Successful Dribble %,58.80%,62
Players Dribbled Past,1.37,63
Nutmegs,0.21,92
,,
Carries,26.62,75
Total Carrying Distance,139.2,78
Progressive Carrying Distance,75.22,77
Progressive Carries,4.37,81
Carries into Final Third,1.58,86
Carries into Penalty Area,0.74,61
Miscontrols,1.79,92
Dispossessed,1.95,39
,,
Pass Targets,52.42,70
Passes Received,31.52,75
Passes Received %,60.10%,71
Progressive Passes Rec,6.72,33
Yellow Cards,0.05,80
Red Cards,0,57
Second Yellow Card,0,54
Fouls Committed,0.79,89
Fouls Drawn,2,66
Offsides,0.4,76
Crosses,1.08,79
,,
Interceptions,0.42,68
Tackles Won,0.34,31
Penalty Kicks Won,0.05,67
Penalty Kicks Conceded,0,54
Own Goals,0,52
Ball Recoveries,4.53,70
,,
Aerials won,2.71,65
Aerials lost,3.72,40
% of Aerials Won,42.20%,63